station,color_code,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10
松山機場,BR,156477,153399,149831,154321,152704,148148,149170,144114,152140,154375,162968,167305,166312,166007,147099,155301,154891,150707,145328,147324,144718,150604,159544,158971,162723,164890,148098,148867,148675,148273,142072,135524,148105,155300,160307,159522,163466,162080,152693,153403,149779,150652,146788,138392,147873,154795,161470,167182,166906,160955,155945,165324,160059,157673,140194,108233,91690,74554,85941,104818,132401,145053,130509,131099
中山國中,BR,387225,391082,390655,404096,414003,424706,406732,365035,426635,390829,402522,383366,390400,401349,356428,397453,412480,421957,384710,386027,415951,391670,392910,395110,391514,393458,390377,371772,404267,419458,393731,355759,411195,370888,391223,381988,384152,388641,381184,396655,401801,418786,404931,344015,402904,383601,397247,382625,388122,377300,381438,386689,406193,417510,344214,338328,331077,276686,319798,329735,354483,387631,401868,386482
南京復興,BR,864961,899499,878016,902208,927431,959094,949137,835264,998005,906050,947690,919321,934184,976493,850309,947159,980028,1018639,952022,959604,1031948,963344,995938,1015898,999033,1020324,989990,938882,1035930,1084607,1035003,923621,1086134,974407,1053183,1037394,1051908,1077526,1034635,1068417,1085197,1142896,1102417,910561,1086523,1039430,1092499,1074054,1116941,1092933,1087830,1090798,1138901,1189716,989180,996890,941166,780670,896942,938239,1023310,1126393,1154163,1085375
忠孝復興,BL,1426792,1425410,1356860,1367619,1602665,1454170,1426199,1432465,1429760,1369438,1402602,1385145,1446210,1470364,1266984,1359460,1599853,1436681,1382840,1405006,1368347,1328994,1347676,1330189,1397750,1415106,1301276,1308658,1571969,1418644,1351151,1401472,1342706,1293168,1345909,1314300,1370332,1395768,1300255,1322938,1546025,1405825,1400212,1296548,1338248,1301867,1349662,1311632,1358859,1351020,1283031,1298682,1527304,1380459,1281145,1100192,969052,847565,1002916,1078325,1166825,1304576,1248681,1274763
大安,BR,537064,528553,585670,600396,622660,642492,606355,530511,656245,609871,633375,584063,563808,573182,568884,635870,655848,676924,600409,597016,678842,642095,651671,638913,608343,606752,652687,620135,677142,710214,666971,559281,704218,645933,686358,648432,627120,635206,664287,697561,702103,734599,688495,576902,705252,680097,708355,672012,656179,634351,690729,695576,728822,753864,605613,547474,589408,504107,583413,586942,616322,660513,718769,681323
科技大樓,BR,360458,349153,368781,395010,402699,412657,379868,325233,419451,383629,396957,373345,362682,362251,344218,397895,405550,410120,349664,349925,408446,378935,387068,385411,378494,362222,373798,368330,402249,423223,378527,323938,407239,366652,398428,380849,363363,358957,378650,400964,409644,419531,382001,332648,403725,386438,404588,393873,368649,357011,390742,390354,412896,422104,327238,309354,335238,275228,324876,332958,339298,372643,407993,400747
六張犁,BR,282249,282106,286229,297662,305255,308846,300714,269531,317253,294962,301689,286616,287039,295865,268669,296517,303737,307704,286483,288685,313155,296027,298861,297886,293795,290915,294015,283945,308816,317513,302142,273755,314435,291899,301026,294754,293691,297491,293106,308937,317884,326605,314064,269288,317582,304444,310565,303101,304798,296185,303844,309487,322984,328168,280944,273594,269300,229437,261241,267334,280185,308919,320550,315641
麟光,BR,98454,100440,100350,102128,104954,104160,105210,101490,117358,115171,105550,102418,102571,107715,97894,105084,108024,108466,105080,105498,118185,118923,107425,106007,107369,106663,105787,105313,109683,111986,108173,106924,118269,118664,107568,106033,107204,112027,107196,110373,110797,113975,111858,103719,118345,119891,113239,115303,117860,123380,116181,117422,118637,116922,107191,98965,96399,83359,95063,98800,102629,119155,113559,118687
辛亥,BR,76419,76141,77660,78737,80665,82715,78918,71135,82981,77099,78970,75925,75069,78882,69258,77531,79749,81259,77813,78118,83056,80811,80190,80541,76896,76775,76462,74411,81048,82823,79880,73978,84316,78706,80107,78069,78229,79824,76262,83458,84181,82370,81871,74096,83418,80527,82791,79981,80944,78222,79202,84293,87255,85976,77165,74247,72788,62911,71165,73838,78662,86822,86789,88035
萬芳醫院,BR,331625,331410,387217,409244,415409,414519,359435,339632,419807,388385,404456,369757,332916,347802,351618,409193,414044,414602,350412,344281,412258,386856,395597,388485,338561,340617,375287,383029,413936,417496,379770,322635,412771,377774,400650,382048,337337,338658,374827,415619,415159,422804,386781,328303,404331,385708,400928,378621,346618,331394,384810,395984,409491,412193,323164,297540,331392,287841,326105,326392,316151,342706,383702,387960
萬芳社區,BR,50486,49096,51760,53675,55175,54930,52806,50523,55276,53293,53506,50918,50775,54038,49445,53591,55451,56917,53600,53350,56460,54845,54613,53503,53662,53259,53957,51821,55204,55860,54643,51120,58886,55489,56469,55243,55367,55118,54731,58707,58528,59726,56895,53433,57997,57228,57081,55064,56590,55035,55993,59167,60432,60347,53353,50409,49730,41831,48191,49486,52466,58496,60321,59944
木柵,BR,96952,95663,115085,119256,123927,119236,107766,103291,118952,118612,119930,105449,94387,99404,103251,116335,121688,122437,106691,107735,119893,120594,120523,110480,99725,100244,114994,112216,120811,124347,115477,94200,124684,117280,124270,113349,102937,106613,117881,126348,129433,129682,116410,108665,122608,122830,124018,116465,104994,101852,123048,129587,132927,135698,110996,93988,109983,97437,108438,107963,102600,110497,126477,128456
